#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 06 04 00 224 15.1 19.4  5.16 12.50  7.79 287 1018.6   9.4 999.0 999.0 99.0 99.00
2007 01 06 05 00 228 14.9 18.3  6.07 12.50  8.15 277 1017.7   9.4 999.0 999.0 99.0 99.00
2007 01 06 06 00 235 14.6 18.9  6.36 12.50  8.23 288 1017.7   9.5 999.0 999.0 99.0 99.00
2007 01 06 07 00 250 15.1 18.8  6.39 14.29  8.50 291 1017.4  10.1 999.0 999.0 99.0 99.00
2007 01 06 08 00 283 12.8 16.0  6.11 12.50  8.48 287 1019.0   9.8 999.0 999.0 99.0 99.00
2007 01 06 09 00 286 13.9 17.9  6.35 14.29  8.69 283 1020.0   9.1 999.0 999.0 99.0 99.00
2007 01 06 10 00 298 12.0 16.4  6.45 14.29  8.79 284 1021.0   8.5 999.0 999.0 99.0 99.00
2007 01 06 11 00 285 10.7 16.1  7.21 14.29  9.41 283 1022.2   8.6 999.0 999.0 99.0 99.00
2007 01 06 12 00 286 11.3 14.6  6.73 14.29  9.26 284 1023.3   8.6 999.0 999.0 99.0 99.00
2007 01 06 13 00 308 10.9 13.4  6.62 14.29  9.17 283 1024.3   8.6 999.0 999.0 99.0 99.00
2007 01 06 14 00 286 10.6 13.7  6.23 14.29  9.04 284 1025.3   8.7 999.0 999.0 99.0 99.00
2007 01 06 15 00 289  9.3 11.9  7.30 14.29  9.94 287 1026.2   8.7 999.0 999.0 99.0 99.00
2007 01 06 16 00 315  8.9 12.8  6.26 14.29  9.34 285 1027.2   7.5 999.0 999.0 99.0 99.00
2007 01 06 17 00 288  8.2 10.9  6.14 14.29  9.03 287 1028.2   8.4 999.0 999.0 99.0 99.00
2007 01 06 18 00 270  5.8  8.4  6.22 14.29  9.43 282 1028.8   8.7 999.0 999.0 99.0 99.00
2007 01 06 19 00 270  5.7  7.9  6.41 14.29  9.64 276 1030.0   8.6 999.0 999.0 99.0 99.00
2007 01 06 20 00 250  4.6  6.9  6.41 14.29 10.38 274 1030.2   8.6 999.0 999.0 99.0 99.00
2007 01 06 21 00 237  4.6  6.2  6.69 14.29 10.36 278 1030.3   8.7 999.0 999.0 99.0 99.00
2007 01 06 22 00 219  5.4  7.4  5.76 12.50  9.66 278 1029.8   8.7 999.0 999.0 99.0 99.00
2007 01 06 23 00 222  6.6  8.4  5.04 14.29  9.08 274 1029.8   8.9 999.0 999.0 99.0 99.00
2007 01 07 00 00 214  7.1  8.8  5.10 14.29  9.07 274 1030.2   9.0 999.0 999.0 99.0 99.00
2007 01 07 01 00 208  7.6  9.3  5.78 12.50  9.99 275 1030.5   9.4 999.0 999.0 99.0 99.00
2007 01 07 02 00 196  9.1 10.8  4.71 11.11  8.83 282 1029.2   9.5 999.0 999.0 99.0 99.00
2007 01 07 03 00 194 10.2 12.5  4.72 12.50  8.75 281 1029.1   9.6 999.0 999.0 99.0 99.00
2007 01 07 04 00 208 10.5 12.8  5.01 12.50  8.95 280 1029.0   8.7 999.0 999.0 99.0 99.00
2007 01 07 05 00 198 10.8 12.8  4.96 14.29  8.78 269 1029.2   8.6 999.0 999.0 99.0 99.00
2007 01 07 06 00 208 10.5 12.2  4.71 11.11  8.52 280 1028.9   9.4 999.0 999.0 99.0 99.00
2007 01 07 07 00 214  9.3 11.6  4.32 14.29  8.25 281 1028.8   9.8 999.0 999.0 99.0 99.00
2007 01 07 08 00 220 10.9 13.4  4.93 14.29  8.98 279 1028.1  10.2 999.0 999.0 99.0 99.00
2007 01 07 09 00 215 11.4 13.2  4.79 14.29  8.57 276 1027.6  10.2 999.0 999.0 99.0 99.00
2007 01 07 10 00 218 11.7 14.8  5.24 14.29  9.23 279 1027.3  10.2 999.0 999.0 99.0 99.00
2007 01 07 11 00 213 11.7 14.7  4.67 14.29  7.93 268 1028.2  10.2 999.0 999.0 99.0 99.00
2007 01 07 12 00 213 12.5 15.2  4.35 14.29  8.08 268 1027.4  10.2 999.0 999.0 99.0 99.00
2007 01 07 13 00 211 13.7 17.4  4.80 16.67  8.11 270 1026.8  10.6 999.0 999.0 99.0 99.00
