YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 10 15 999 99.0 99.0  2.06 11.43  8.56 237 9999.0 999.0 999.0 999.0 99.0
98 01 10 16 999 99.0 99.0  2.03 11.43  8.16 232 9999.0 999.0 999.0 999.0 99.0
98 01 10 17 999 99.0 99.0  1.92 11.43  7.65 233 9999.0 999.0 999.0 999.0 99.0
98 01 10 18 999 99.0 99.0  2.02 11.43  7.93 235 9999.0 999.0 999.0 999.0 99.0
98 01 10 19 999 99.0 99.0  2.23 11.43  8.41 237 9999.0 999.0 999.0 999.0 99.0
98 01 10 20 999 99.0 99.0  1.95 10.81  8.21 232 9999.0 999.0 999.0 999.0 99.0
98 01 10 21 999 99.0 99.0  2.01 10.81  7.70 229 9999.0 999.0 999.0 999.0 99.0
98 01 10 22 999 99.0 99.0  1.95 11.43  7.77 241 9999.0 999.0 999.0 999.0 99.0
98 01 10 23 999 99.0 99.0  2.01 10.81  8.85 227 9999.0 999.0 999.0 999.0 99.0
98 01 11 00 999 99.0 99.0  1.80 11.43  7.83 232 9999.0 999.0 999.0 999.0 99.0
98 01 11 01 999 99.0 99.0  1.72 10.81  6.25 234 9999.0 999.0 999.0 999.0 99.0
98 01 11 02 999 99.0 99.0  1.85 10.81  6.63 227 9999.0 999.0 999.0 999.0 99.0
98 01 11 03 999 99.0 99.0  1.79 10.81  5.93 234 9999.0 999.0 999.0 999.0 99.0
98 01 11 04 999 99.0 99.0  1.86 10.81  6.45 227 9999.0 999.0 999.0 999.0 99.0
98 01 11 05 999 99.0 99.0  1.71 10.00  5.58 224 9999.0 999.0 999.0 999.0 99.0
98 01 11 06 999 99.0 99.0  1.80 10.81  5.69 231 9999.0 999.0 999.0 999.0 99.0
98 01 11 07 999 99.0 99.0  1.76 14.81  5.67 271 9999.0 999.0 999.0 999.0 99.0
98 01 11 08 999 99.0 99.0  1.63 11.43  5.49 242 9999.0 999.0 999.0 999.0 99.0
98 01 11 09 999 99.0 99.0  1.79 12.90  5.70 251 9999.0 999.0 999.0 999.0 99.0
98 01 11 10 999 99.0 99.0  1.74 12.90  5.22 252 9999.0 999.0 999.0 999.0 99.0
98 01 11 11 999 99.0 99.0  1.97 10.81  5.39 245 9999.0 999.0 999.0 999.0 99.0
98 01 11 12 999 99.0 99.0  1.88 11.43  5.04 245 9999.0 999.0 999.0 999.0 99.0
98 01 11 13 999 99.0 99.0  2.13 11.43  5.07 240 9999.0 999.0 999.0 999.0 99.0
98 01 11 14 999 99.0 99.0 99.00 99.00 99.00 242 9999.0 999.0 999.0 999.0 99.0
98 01 11 15 999 99.0 99.0  2.16 11.43  4.89 246 9999.0 999.0 999.0 999.0 99.0
98 01 11 16 999 99.0 99.0  2.18 11.43  5.11 238 9999.0 999.0 999.0 999.0 99.0
98 01 11 17 999 99.0 99.0  2.25 11.43  5.22 238 9999.0 999.0 999.0 999.0 99.0
98 01 11 18 999 99.0 99.0  2.04 10.81  5.25 237 9999.0 999.0 999.0 999.0 99.0
98 01 11 19 999 99.0 99.0  2.04 11.43  5.58 232 9999.0 999.0 999.0 999.0 99.0
