#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2004 01 06 11 00  88 13.4 16.0  2.60  5.88  5.39 125 1016.1   1.5  10.2 999.0 99.0 99.00
2004 01 06 12 00  96 13.2 15.8  3.19  5.88  5.64 117 1014.6   2.0  10.2 999.0 99.0 99.00
2004 01 06 13 00  97 13.3 15.9  3.05  5.88  5.96  92 1013.3   2.8  10.2 999.0 99.0 99.00
2004 01 06 14 00 110 12.3 14.5  3.51 10.00  6.45 231 1012.2   3.7  10.2 999.0 99.0 99.00
2004 01 06 15 00 133 14.2 17.3  3.64  9.09  6.31 222 1011.0   5.6  10.1 999.0 99.0 99.00
2004 01 06 16 00 141 13.5 16.0  4.04 11.11  6.42 233 1010.4   5.7  10.2 999.0 99.0 99.00
2004 01 06 17 00 147 13.8 17.1  3.87 11.11  6.60 229 1010.0   6.3  10.2 999.0 99.0 99.00
2004 01 06 18 00 151 13.9 17.6  4.37 11.11  7.05 238 1009.8   6.4  10.2 999.0 99.0 99.00
2004 01 06 19 00 155 13.2 15.9  4.81 10.00  7.38 228 1009.3   6.7  10.2 999.0 99.0 99.00
2004 01 06 20 00 159 12.7 15.2  5.07 12.50  7.84 245 1008.4   7.2  10.2 999.0 99.0 99.00
2004 01 06 21 00 161 13.2 16.1  4.74 11.11  7.34 232 1007.2   7.4  10.2 999.0 99.0 99.00
2004 01 06 22 00 167 13.4 16.2  5.30 11.11  7.70 999 1006.5   7.7  10.2 999.0 99.0 99.00
2004 01 06 23 00 159 12.8 14.9  4.60 11.11  7.25 235 1005.8   7.8  10.2 999.0 99.0 99.00
2004 01 07 00 00 158 11.9 15.4  4.41 11.11  7.34 227 1005.4   8.1  10.2 999.0 99.0 99.00
2004 01 07 01 00 166 13.1 15.7  5.18 11.11  7.85 227 1004.7   8.3  10.2 999.0 99.0 99.00
2004 01 07 02 00 155 11.4 14.1  4.89 11.11  7.42 230 1004.0   8.2  10.2 999.0 99.0 99.00
2004 01 07 03 00 160 13.7 16.5  4.68 11.11  7.29 223 1002.9   8.5  10.2 999.0 99.0 99.00
2004 01 07 04 00 159 12.3 15.7  4.39 11.11  7.41 219 1002.5   8.7  10.2 999.0 99.0 99.00
2004 01 07 05 00 156 13.2 16.1  4.65 11.11  7.23 216 1002.0   9.2  10.2 999.0 99.0 99.00
2004 01 07 06 00 157 13.6 16.7  5.06 11.11  7.77 224 1001.4   9.0  10.2 999.0 99.0 99.00
2004 01 07 07 00 164 13.6 17.7  5.02 11.11  7.68 999 1001.1   9.0  10.2 999.0 99.0 99.00
2004 01 07 08 00 180 15.7 19.9  4.55 11.11  7.31 227 1000.6   9.0  10.2 999.0 99.0 99.00
2004 01 07 09 00 160 14.8 18.5  5.07 11.11  7.52 221 1000.4   8.2  10.2 999.0 99.0 99.00
2004 01 07 10 00 162 14.1 17.4  5.00 11.11  7.61 210 1000.1   8.2  10.2 999.0 99.0 99.00
2004 01 07 11 00 162 14.7 18.3  5.28 11.11  7.93 206 1000.1   8.1  10.2 999.0 99.0 99.00
2004 01 07 12 00 173 13.4 16.9  5.33 11.11  7.65 208 1000.3   9.4  10.2 999.0 99.0 99.00
2004 01 07 13 00 180 14.3 17.6  5.15 11.11  7.65 201 1000.4  10.2  10.2 999.0 99.0 99.00
2004 01 07 14 00 178 13.4 16.5  5.49 11.11  7.79 207 1000.7  10.2  10.2 999.0 99.0 99.00
2004 01 07 15 00 178 13.5 16.7  5.17 11.11  7.76 207 1000.9  10.2  10.2 999.0 99.0 99.00
2004 01 07 16 00 180 14.0 17.4  4.88 11.11  7.83 198 1001.3  10.3  10.2 999.0 99.0 99.00
2004 01 07 17 00 180 14.2 17.9  5.01 11.11  7.51 197 1002.1  10.3  10.2 999.0 99.0 99.00
2004 01 07 18 00 182 13.8 17.3  5.09 11.11  7.70 199 1002.8  10.5  10.4 999.0 99.0 99.00
2004 01 07 19 00 178 13.9 16.7  4.71 12.50  7.54 184 1003.3  10.2  10.5 999.0 99.0 99.00
2004 01 07 20 00 183 14.2 17.5  5.19 11.11  7.88 190 1003.5  10.6  10.5 999.0 99.0 99.00
2004 01 07 21 00 182 13.9 17.3  5.07 11.11  7.52 187 1003.7  10.6  10.5 999.0 99.0 99.00
2004 01 07 22 00 180 13.2 16.4  5.27 11.11  7.93 199 1004.0  10.6  10.5 999.0 99.0 99.00
2004 01 07 23 00 178 13.3 16.4  5.03 11.11  7.58 198 1004.5  10.6  10.2 999.0 99.0 99.00
2004 01 08 00 00 180 13.2 16.3  5.20 11.11  7.88 200 1005.2  10.5  10.2 999.0 99.0 99.00
2004 01 08 01 00 177 11.8 14.6  5.31 11.11  7.77 999 1006.0  10.7  10.2 999.0 99.0 99.00
2004 01 08 02 00 166 11.4 13.9  5.22 11.11  7.81 200 1006.2  10.2  10.2 999.0 99.0 99.00
2004 01 08 03 00 163 11.5 13.9  4.36 11.11  7.39 208 1006.1   9.8  10.2 999.0 99.0 99.00
2004 01 08 04 00 162 12.1 14.4  4.49 10.00  7.54 206 1005.7  10.2  10.2 999.0 99.0 99.00
2004 01 08 05 00 145 11.1 13.3  3.93 11.11  7.15 209 1005.3  10.2  10.2 999.0 99.0 99.00
2004 01 08 06 00 149 12.1 15.0  3.88 10.00  7.37 209 1005.2  10.2   9.8 999.0 99.0 99.00
2004 01 08 07 00 149 12.4 16.4  4.11 11.11  7.46 221 1004.8   9.9   9.7 999.0 99.0 99.00
2004 01 08 08 00 157 12.7 17.0  4.10 11.11  7.34 217 1004.9   9.8   9.7 999.0 99.0 99.00
2004 01 08 09 00 164 12.3 15.0  4.36 11.11  7.73 221 1005.3   9.8   9.7 999.0 99.0 99.00
2004 01 08 10 00 163 11.2 13.6  4.04 11.11  7.11 236 1006.4   9.7   9.7 999.0 99.0 99.00
2004 01 08 11 00 156 10.5 12.8  4.35 11.11  7.73 228 1007.8   9.7   9.7 999.0 99.0 99.00
2004 01 08 12 00 170  8.9 11.0  4.56 10.00  7.69 208 1009.1  10.5   9.7 999.0 99.0 99.00
2004 01 08 13 00 180  9.2 11.3  4.20 10.00  7.89 216 1009.5  10.6   9.7 999.0 99.0 99.00
2004 01 08 14 00 169  7.8  9.6  4.21 11.11  7.97 233 1010.5  10.5   9.7 999.0 99.0 99.00
2004 01 08 15 00 168  7.8  9.4  4.30 10.00  8.22 217 1010.9  10.6   9.7 999.0 99.0 99.00
2004 01 08 16 00 163  8.7 10.7  4.04 12.50  8.09 244 1011.4  10.3   9.7 999.0 99.0 99.00
2004 01 08 17 00 154  9.1 11.0  4.00 12.50  7.85 238 1012.5  10.4   9.7 999.0 99.0 99.00
2004 01 08 18 00 151  8.6 10.4  3.89 10.00  7.53 218 1013.1   9.8   9.7 999.0 99.0 99.00
2004 01 08 19 00 138  7.7  9.3  3.48 11.11  7.56 234 1013.3   9.8   9.7 999.0 99.0 99.00
2004 01 08 20 00 140  9.2 11.6  3.82 11.11  7.71 234 1013.3  10.0   9.7 999.0 99.0 99.00
