YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 04 02 177  9.1 11.2  3.58 12.50  7.56 253 1022.5  10.2  10.2   9.3 99.0 99.00
2001 01 04 03 178  8.0  9.9  3.46 14.29  7.46 242 1022.6  10.2  10.1   9.3 99.0 99.00
2001 01 04 04 191  6.2  7.9  3.17 12.50  7.37 248 1022.7  10.2  10.1   9.5 99.0 99.00
2001 01 04 05 184  6.3  7.5  3.58 14.29  8.15 252 1022.6  10.2  10.1   9.5 99.0 99.00
2001 01 04 06 173  6.9  8.5  4.09 14.29  9.39 245 1022.5  10.2  10.2   9.6 99.0 99.00
2001 01 04 07 177  7.9  9.4  3.87 12.50  9.07 247 1022.7  10.3  10.2   9.6 99.0 99.00
2001 01 04 08 175  7.9  9.5  3.99 14.29  8.74 254 1022.4  10.3  10.2   9.7 99.0 99.00
2001 01 04 09 180  8.4 10.2  3.62 14.29  8.02 255 1022.0  10.3  10.2   9.7 99.0 99.00
2001 01 04 10 178  8.9 10.5  3.78 14.29  8.29 260 1021.6  10.5  10.2   9.9 99.0 99.00
2001 01 04 11 180  9.3 11.2  3.88 14.29  8.39 258 1021.6  10.5  10.2   9.9 99.0 99.00
2001 01 04 12 180  8.6 10.2  4.05 14.29  8.26 259 1021.9  10.4  10.2   9.8 99.0 99.00
2001 01 04 13 176  8.0  9.9  3.96 12.50  8.24 252 1021.3  10.5  10.2   9.9 99.0 99.00
2001 01 04 14 168  8.4  9.9  4.16 12.50  8.70 256 1020.9  10.3  10.2   9.7 99.0 99.00
2001 01 04 15 163  8.5 10.2  3.78 14.29  8.33 258 1020.8  10.3  10.2   9.7 99.0 99.00
2001 01 04 16 159  9.4 11.0  3.74 14.29  8.11 260 1019.9  10.3  10.2   9.8 99.0 99.00
2001 01 04 17 163 10.8 12.8  3.61 12.50  7.83 249 1019.8  10.3  10.2   9.7 99.0 99.00
2001 01 04 18 162 11.5 14.0  3.63 14.29  7.86 255 1019.2  10.5   9.8   9.8 99.0 99.00
2001 01 04 19 160 13.0 15.8  3.80 12.50  7.60 252 1018.3  10.6   9.8   9.3 99.0 99.00
2001 01 04 20 167 11.4 13.3  3.62 12.50  7.06 261 1017.9  10.6   9.8   8.5 99.0 99.00
2001 01 04 21 167 13.0 15.6  3.57 12.50  7.19 250 1017.1   9.7   9.8   8.4 99.0 99.00
2001 01 04 22 172 10.8 12.8  3.66 12.50  7.51 246 1016.3  10.9   9.8   7.9 99.0 99.00
2001 01 04 23 174 11.2 13.8  3.72 12.50  7.73 257 1015.7  11.3   9.8   8.2 99.0 99.00
2001 01 05 00 175 10.6 12.2  3.50 12.50  7.61 242 1015.7  11.3   9.8   8.8 99.0 99.00
2001 01 05 01 173 10.9 13.3  3.36 12.50  7.35 251 1015.6  11.0   9.8   8.9 99.0 99.00
2001 01 05 02 169 12.1 14.9  3.22 11.11  6.95 253 1014.8  11.0   9.8   9.0 99.0 99.00
2001 01 05 03 172 12.4 15.2  3.38 11.11  6.94 259 1014.6  11.0   9.8   9.2 99.0 99.00
2001 01 05 04 175 13.2 16.2  3.51 11.11  7.01 256 1014.2  11.0   9.8   9.4 99.0 99.00
2001 01 05 05 177 13.2 16.8  3.69 11.11  6.93 259 1013.9  10.8   9.8   9.5 99.0 99.00
2001 01 05 06 183 13.4 16.2  3.68 12.50  6.61 251 1013.9  10.5   9.8   9.5 99.0 99.00
2001 01 05 07 188 11.9 14.9  3.79 11.11  6.67 247 1014.2  10.4   9.8   9.5 99.0 99.00
2001 01 05 08 211 11.5 14.5  3.87 11.11  7.06 252 1015.0  10.5   9.8   9.7 99.0 99.00
2001 01 05 09 206  9.0 10.7  3.76 11.11  7.02 257 1015.6  10.5   9.8   9.6 99.0 99.00
2001 01 05 10 205  9.5 11.5  3.74 12.50  7.13 243 1016.0  10.5   9.8   9.3 99.0 99.00
2001 01 05 11 209  8.8 10.7  3.49 12.50  7.11 252 1017.2  10.9   9.8   9.4 99.0 99.00
2001 01 05 12 208  8.9 10.6  3.29 10.00  7.12 240 1017.8  10.6   9.8   9.0 99.0 99.00
2001 01 05 13 220 10.2 12.7  3.12 11.11  7.07 251 1018.3  11.0   9.8   8.4 99.0 99.00
2001 01 05 14 230  8.1  9.7  3.23 12.50  6.90 247 1019.5  10.6   9.8   7.4 99.0 99.00
2001 01 05 15 220  6.3  7.7  3.07 11.11  7.27 245 1020.4  10.5   9.8   7.6 99.0 99.00
2001 01 05 16 212  7.3  8.6  3.11 11.11  7.35 244 1021.1  10.3   9.8   7.8 99.0 99.00
2001 01 05 17 217  5.5  6.8  3.28 11.11  7.55 243 1022.7  10.2   9.8   7.6 99.0 99.00
2001 01 05 18 217  7.0  8.4  3.27 11.11  7.55 241 1023.8  10.2   9.8   7.8 99.0 99.00
2001 01 05 19 217  5.6  7.4  3.63 11.11  8.11 251 1024.6  10.2   9.8   7.3 99.0 99.00
2001 01 05 20 232  5.4  7.3  4.67 16.67  9.58 269 1024.8  10.5   9.7   7.3 99.0 99.00
2001 01 05 21 241  6.1  8.2  5.21 16.67  9.60 267 1024.4  10.3   9.7   7.2 99.0 99.00
2001 01 05 22 243  4.7  6.4  5.22 11.11  9.99 257 1024.5  10.3   9.7   7.2 99.0 99.00
2001 01 05 23 257  5.3  7.5  5.50 16.67 10.17 265 1024.9  10.2   9.7   6.7 99.0 99.00
2001 01 06 00 264  4.5  6.9  5.65 14.29 10.41 265 1025.0  10.2   9.7   7.0 99.0 99.00
2001 01 06 01 267  4.4  6.6  5.79 16.67 10.63 264 1025.0   9.7   9.7   7.1 99.0 99.00
2001 01 06 02 270  4.4  6.3  5.50 16.67 10.67 262 1025.2   9.6   9.5   6.8 99.0 99.00
2001 01 06 03 305  4.1  5.5  5.53 16.67 10.58 260 1025.5   9.5   9.5   4.5 99.0 99.00
2001 01 06 04 323  4.2  5.4  4.94 12.50 10.21 261 1025.6   9.5   9.5   5.9 99.0 99.00
2001 01 06 05 349  3.4  4.8  5.21 14.29 10.86 264 1025.5   9.4   9.5   5.9 99.0 99.00
2001 01 06 06 342  3.5  4.9  5.03 14.29 10.22 268 1025.6   9.4   9.5   5.2 99.0 99.00
2001 01 06 07   5  4.2  6.5  5.21 14.29 10.66 266 1025.6   9.1   9.5   4.6 99.0 99.00
2001 01 06 08  25  3.7  6.2  4.99 14.29 10.56 267 1025.2   9.1   9.5   4.7 99.0 99.00
2001 01 06 09  15  3.6  6.7  4.46 14.29  9.88 262 1024.6   9.0   9.5   5.3 99.0 99.00
2001 01 06 10  32  5.4  7.9  4.76 14.29 10.44 259 1024.7   9.0   9.5   5.8 99.0 99.00
2001 01 06 11  60  5.0  7.1  4.90 14.29 10.39 268 1024.4   7.5   9.5   6.5 99.0 99.00
2001 01 06 12  45  3.8  6.2  4.71 12.50 10.63 268 1023.9   6.7   9.5   6.0 99.0 99.00
2001 01 06 13  53  4.3  6.9  4.84 14.29 10.38 267 1023.1   7.1   9.5   6.4 99.0 99.00
2001 01 06 14  25  4.4  6.6  5.08 14.29 10.70 269 1022.7   7.0   9.5   6.2 99.0 99.00
2001 01 06 15  28  4.4  6.3  4.54 14.29 10.22 267 1022.2   7.4   9.5   5.1 99.0 99.00
2001 01 06 16  30  5.3  7.1  4.43 14.29 10.29 274 1021.6   6.8   9.4   5.2 99.0 99.00
2001 01 06 17  34  4.8  6.5  4.66 14.29 10.80 269 1020.9   6.9   9.4   4.2 99.0 99.00
2001 01 06 18  44  7.1  9.1  4.16 14.29 10.11 275 1020.5   7.1   9.4   3.1 99.0 99.00
2001 01 06 19  55  5.9  7.9  4.07 14.29  9.98 277 1019.6   7.3   9.5   3.0 99.0 99.00
2001 01 06 20  56  8.4 10.3  3.89 14.29  9.85 272 1018.3   7.8   9.5   3.1 99.0 99.00
2001 01 06 21  45  8.4 10.4  3.95 14.29  9.42 271 1017.1   7.8   9.5   2.8 99.0 99.00
2001 01 06 22  25  5.3  7.0  3.65 14.29  9.20 273 1016.1   7.8   9.5   3.7 99.0 99.00
2001 01 06 23  40  8.3 10.6  3.60 14.29  9.85 278 1014.8   8.7   9.5   4.4 99.0 99.00
2001 01 07 00  60 11.6 14.2  3.65 12.50  7.97 280 1013.2   9.8   9.5   3.5 99.0 99.00
2001 01 07 01  63 10.0 12.9  3.32 12.50  7.79 281 1013.0  10.2   9.5   4.2 99.0 99.00
2001 01 07 02  62  8.7 11.6  3.28 12.50  8.02 278 1012.2  10.0   9.5   4.6 99.0 99.00
2001 01 07 03  70  8.3 10.3  3.13 12.50  8.44 276 1011.6  10.2   9.5   4.6 99.0 99.00
2001 01 07 04  91  7.0  9.9  2.68 12.50  7.73 278 1011.3  10.4   9.5   4.5 99.0 99.00
2001 01 07 05 121  6.0  8.2  2.64 12.50  7.75 274 1011.2  10.6   9.5   4.5 99.0 99.00
2001 01 07 06  86  6.5  7.9  2.50 12.50  7.49 281 1010.7  10.6   9.5   5.3 99.0 99.00
2001 01 07 07 103  9.2 11.5  2.33 12.50  7.20 279 1010.2  11.3   9.5   4.1 99.0 99.00
2001 01 07 08  90  7.6 10.3  2.34 12.50  7.08 267 1010.1  11.1   9.7   4.0 99.0 99.00
2001 01 07 09  94  6.8  8.7  2.06 12.50  6.80 264 1009.6  11.0   9.7   4.0 99.0 99.00
2001 01 07 10 142  5.0  6.5  2.21 12.50  7.27 265 1009.9  11.0   9.7   5.4 99.0 99.00
2001 01 07 11 164  7.0  8.4  2.19 14.29  7.01 265 1009.6  10.6   9.7   5.2 99.0 99.00
2001 01 07 12 156  6.5  8.0  1.88 11.11  6.93 260 1009.1  10.2   9.7   7.7 99.0 99.00
2001 01 07 13 130  7.0  8.4  1.90 14.29  6.42 265 1008.2  10.2   9.7   6.6 99.0 99.00
2001 01 07 14 138  4.1  5.3  1.73 14.29  6.18 267 1007.9   9.8   9.7   6.3 99.0 99.00
2001 01 07 15 106  5.6  7.8  1.71 16.67  6.55 276 1006.8  10.2   9.5   5.6 99.0 99.00
2001 01 07 16 107  8.6 10.0  1.89 14.29  6.12 276 1006.3  11.0   9.5   3.9 99.0 99.00
2001 01 07 17 103  8.2 10.2  2.00 14.29  5.91 264 1005.7  11.0   9.7   3.1 99.0 99.00
2001 01 07 18 101  8.5 10.7  2.10 14.29  5.94 271 1005.4  11.3   9.7   3.0 99.0 99.00
2001 01 07 19  92  8.8 11.3  2.02 14.29  6.06 268 1004.6  11.0   9.5   3.3 99.0 99.00
2001 01 07 20  91  8.7 10.9  2.04 12.50  5.72 265 1003.4  11.2   9.5   3.2 99.0 99.00
2001 01 07 21  90  8.9 11.3  2.08  7.69  5.76 208 1002.9  11.3   9.5   3.5 99.0 99.00
2001 01 07 22  87  9.9 11.7  2.02 12.50  5.63 259 1001.8  11.4   9.5   3.0 99.0 99.00
2001 01 07 23  83 10.1 12.2  2.05  9.09  5.70 233 1001.4  11.3   9.5   3.5 99.0 99.00
2001 01 08 00  83  9.7 12.0  2.13  4.76  5.42  93 1000.9  11.0   9.5   3.9 99.0 99.00
2001 01 08 01  84  9.7 11.6  2.15  8.33  5.56 219 1000.2  11.2   9.5   4.1 99.0 99.00
2001 01 08 02 121  5.1  7.4  2.19  7.14  5.60 196 1001.3  11.3   9.5   5.3 99.0 99.00
2001 01 08 03 144  7.8  9.6  2.11  7.69  6.01 206 1001.3  11.7   9.5   5.7 99.0 99.00
2001 01 08 04 167 11.5 14.6  2.37  7.69  6.17 205 1001.0  11.9   9.5   6.1 99.0 99.00
2001 01 08 05 182 13.1 17.4  2.59 14.29  5.92 262 1001.5  12.6   9.5   4.9 99.0 99.00
2001 01 08 06 182  9.6 12.1  2.55 10.00  6.34 223 1001.9  11.3   9.5   6.8 99.0 99.00
2001 01 08 07 173  9.5 11.6  3.11  9.09  6.81 215 1002.5  10.6   9.7   7.4 99.0 99.00
2001 01 08 08 150  6.8  9.0  4.04  9.09  7.52 216 1003.0  10.3   9.7   7.7 99.0 99.00
2001 01 08 09 161  7.4  9.6  4.76 11.11  8.03 219 1002.9  10.3   9.7   7.7 99.0 99.00
2001 01 08 10 153  7.4  9.2  4.87 12.50  8.56 235 1002.8   9.8   9.7   8.2 99.0 99.00
2001 01 08 11 156  7.1  9.1  4.95 11.11  8.80 216 1003.2   9.9   9.7   8.3 99.0 99.00
2001 01 08 12 169 10.2 12.7  5.73 12.50  8.96 226 1003.1  10.2   9.7   8.1 99.0 99.00
2001 01 08 13 173 10.2 12.6  4.88 12.50  8.27 220 1003.1   9.8   9.7   8.0 99.0 99.00
2001 01 08 14 173 10.1 12.2  4.72 12.50  8.35 227 1003.4   9.7   9.5   8.5 99.0 99.00
2001 01 08 15 182  9.0 11.3  4.79 11.11  8.21 206 1003.8   9.8   9.5   8.5 99.0 99.00
2001 01 08 16 259  6.1  7.8  4.65 11.11  8.35 211 1004.8   9.4   9.5   7.7 99.0 99.00
2001 01 08 17 271  6.7  8.3  4.10 11.11  8.07 203 1006.1   8.7   9.5   7.4 99.0 99.00
2001 01 08 18 285  6.1  7.6  3.36 12.50  7.87 213 1007.5   8.7   9.5   6.9 99.0 99.00
2001 01 08 19 270  5.3  6.3  3.31 11.11  8.04 198 1008.5   8.6   9.5   6.3 99.0 99.00
2001 01 08 20 275  4.8  6.5  3.21 11.11  8.01 202 1009.3   9.4   9.5   6.6 99.0 99.00
2001 01 08 21 259  5.2  6.5  3.21 11.11  8.00 215 1009.8   9.7   9.5   5.2 99.0 99.00
2001 01 08 22 247  4.5  6.1  3.52 12.50  8.22 255 1010.5   9.8   9.5   5.5 99.0 99.00
2001 01 08 23 232  4.8  6.3  3.28 11.11  8.02 225 1011.3   9.8   9.5   4.9 99.0 99.00
2001 01 09 00 209  4.8  6.5  3.53 11.11  8.37 238 1011.9   9.7   9.5   5.4 99.0 99.00
2001 01 09 01 206  6.2  7.8  3.69 11.11  8.34 241 1012.3   9.5   9.5   5.9 99.0 99.00
2001 01 09 02 186  7.1  8.8  3.45 11.11  8.16 247 1012.5   9.5   9.5   5.9 99.0 99.00
2001 01 09 03 184  8.0  9.8  3.71 11.11  8.13 260 1012.6   9.5   9.5   6.1 99.0 99.00
2001 01 09 04 177  8.8 10.9  3.47 10.00  7.87 250 1012.4   9.5   9.5   5.9 99.0 99.00
2001 01 09 05 175  9.5 11.3  3.61 11.11  8.06 254 1012.0   9.5   9.5   5.8 99.0 99.00
2001 01 09 06 173 10.1 12.2  3.41 11.11  7.55 260 1011.7   9.5   9.7   6.0 99.0 99.00
2001 01 09 07 170 11.2 13.5  3.25 12.50  7.20 264 1011.5   9.7   9.7   5.8 99.0 99.00
2001 01 09 08 164 11.2 13.6  3.70 10.00  7.45 247 1010.6   9.5   9.7   6.7 99.0 99.00
