#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 04 19 50 202  7.6  9.6  6.33 16.00 10.08 256 1010.3  11.0  10.8   8.6 99.0 99.00
2019 01 04 20 50 199  6.7  8.6  6.47 13.79 10.22 270 1010.1  11.0  10.8   9.0 99.0 99.00
2019 01 04 21 50 197  6.1  7.7  6.18 13.79 10.06 272 1010.0  11.0  10.8   8.7 99.0 99.00
2019 01 04 22 50 167  7.9  9.3  5.62 13.79  9.57 261 1009.6   9.9  10.8   7.8 99.0 99.00
2019 01 04 23 50 172  6.4  7.8  5.51 13.79  9.76 270 1009.9  10.4  10.8   9.1 99.0 99.00
2019 01 05 00 50 175  6.5  7.9  5.39 14.81  9.82 264 1009.5  10.5  10.8   9.3 99.0 99.00
2019 01 05 01 50 176  5.4  7.0  5.45 13.79 10.13 272 1009.3  10.5  10.8   9.2 99.0 99.00
2019 01 05 02 50 154  5.3  6.9  4.98 16.00 10.01 253 1008.8  10.4  10.8   9.0 99.0 99.00
2019 01 05 03 50 133  6.7  8.9  4.79 14.81  9.54 267 1008.3  10.3  10.8   8.7 99.0 99.00
2019 01 05 04 50 128  6.1  8.0  4.73 14.81  9.97 265 1007.7  10.0  10.8   8.4 99.0 99.00
2019 01 05 05 50  88  4.5  6.9  4.38 14.81  9.75 269 1007.0  10.0  10.8   8.7 99.0 99.00
2019 01 05 06 50  97  4.9  7.5  4.18 13.79  9.61 278 1006.2   9.9  10.8   8.4 99.0 99.00
2019 01 05 07 50 104  5.7  7.8  4.17 11.43  9.58 268 1005.4  10.1  10.7   8.6 99.0 99.00
2019 01 05 08 50 126  5.4  7.5  3.81 13.79  9.23 266 1004.5  10.7  10.7   6.8 99.0 99.00
2019 01 05 09 50 142  6.0  8.3  4.14 12.12  9.48 267 1004.0  11.1  10.8   5.5 99.0 99.00
2019 01 05 10 50 137  6.2  8.0  3.90 12.90  9.09 265 1003.5  11.2  10.8   5.9 99.0 99.00
2019 01 05 11 50 142  6.3  8.2  4.29 12.12  9.43 272 1002.5  11.2  10.7   5.6 99.0 99.00
