#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 01 03 19 50 114  9.5 11.4  2.65 13.79  6.72 280 1016.9   7.9  10.1 999.0 99.0 99.00
2013 01 03 20 50 125  7.6  9.9  2.78 13.79  6.79 287 1016.3   9.2  10.1 999.0 99.0 99.00
2013 01 03 21 50 145 10.3 12.6  2.99 12.90  6.96 282 1015.7  10.2  10.2 999.0 99.0 99.00
2013 01 03 22 50 139 12.6 15.8  2.75 12.12  6.54 272 1014.7   9.2  10.2 999.0 99.0 99.00
2013 01 03 23 50 150 14.5 18.4  2.83 12.90  6.27 271 1014.4   9.4  10.2 999.0 99.0 99.00
2013 01 04 00 50 152 14.7 18.9  3.25 12.12  6.18 242 1013.9   8.5  10.3 999.0 99.0 99.00
2013 01 04 01 50 164 15.2 19.1  3.80 11.43  6.64 224 1014.1   8.9  10.3 999.0 99.0 99.00
2013 01 04 02 50 182 12.3 14.3  3.74 12.12  6.77 248 1014.8  10.4  10.4 999.0 99.0 99.00
2013 01 04 03 50 194 12.8 15.8  3.58 11.43  6.72 235 1015.7  10.6  10.6 999.0 99.0 99.00
2013 01 04 04 50 208 12.1 13.9  3.53 12.12  6.74 253 1016.9  10.1  10.7 999.0 99.0 99.00
2013 01 04 05 50 218  9.6 11.7  3.68 11.43  7.25 256 1018.2   9.6  10.9 999.0 99.0 99.00
2013 01 04 06 50 216  8.1 10.2  3.53 12.12  7.39 245 1019.5   9.7  10.9 999.0 99.0 99.00
2013 01 04 07 50 212  9.6 11.6  3.42 10.00  7.47 211 1020.4   9.8  10.9 999.0 99.0 99.00
2013 01 04 08 50 219  8.5 11.0  3.30 12.12  7.40 232 1020.8   9.7  10.9 999.0 99.0 99.00
2013 01 04 09 50 223  7.4  9.1  2.80 11.43  7.01 242 1021.6   9.6  10.9 999.0 99.0 99.00
2013 01 04 10 50 235  7.9 10.0  2.99 11.43  7.52 253 1022.5   9.6  10.5 999.0 99.0 99.00
2013 01 04 11 50 245  8.2 10.6  2.84 12.12  7.34 247 1022.9   9.0  10.4 999.0 99.0 99.00
2013 01 04 12 50 241  7.2  9.8  2.72 12.12  7.32 256 1023.2   9.1  10.4 999.0 99.0 99.00
